Ranking,Title,URL,Publication Date,Genre,Average Rating,Number of Ratings,Number of Pages
42,Death: The Time of Your Life,https://www.goodreads.com/book/show/22339.Death,"First published March 1, 1996",Graphic Novels,4.24,"13,587 ratings","95 pages, Paperback
First published March 1, 1996"
43,How the Marquis Got His Coat Back,https://www.goodreads.com/book/show/26838903-how-the-marquis-got-his-coat-back,"First published October 27, 2015",Fantasy,4.05,"13,722 ratings","37 pages, Kindle Edition
First published October 27, 2015"
44,The Sandman: The Dream Hunters,https://www.goodreads.com/book/show/6307034-the-sandman,"First published November 1, 2008",Graphic Novels,4.45,"12,064 ratings","125 pages, Hardcover
First published November 1, 2008"
45,The Quite Nice and Fairly Accurate Good Omens Script Book,https://www.goodreads.com/book/show/42285661-the-quite-nice-and-fairly-accurate-good-omens-script-book,"First published May 21, 2019",Fantasy,4.66,"10,456 ratings","512 pages, Hardcover
First published May 21, 2019"
46,The Day I Swapped My Dad for Two Goldfish,https://www.goodreads.com/book/show/47693.The_Day_I_Swapped_My_Dad_for_Two_Goldfish,"First published January 1, 1997",Picture Books,3.99,"11,928 ratings","64 pages, Hardcover
First published January 1, 1997"
47,Black Orchid,https://www.goodreads.com/book/show/47700.Black_Orchid,"First published January 1, 1990",Graphic Novels,3.73,"11,698 ratings","160 pages, Paperback
First published January 1, 1990"
48,"The Absolute Sandman, Volume 2",https://www.goodreads.com/book/show/1025685.The_Absolute_Sandman_Volume_2,"First published July 1, 1992",Comics,4.67,"9,121 ratings","616 pages, Slipcased Hardcover
First published July 1, 1992"
49,The Truth Is a Cave in the Black Mountains,https://www.goodreads.com/book/show/18635092-the-truth-is-a-cave-in-the-black-mountains,"First published June 1, 2010",Fantasy,3.99,"10,631 ratings","74 pages, Hardcover
First published June 1, 2010"
50,Make Good Art,https://www.goodreads.com/book/show/16240792-make-good-art,"First published May 14, 2013",Nonfiction,4.29,"9,822 ratings","80 pages, Hardcover
First published May 14, 2013"
51,"The Absolute Sandman, Volume 4",https://www.goodreads.com/book/show/3375878-the-absolute-sandman-volume-4,"First published February 1, 1996",Comics,4.69,"8,930 ratings","608 pages, Slipcased Hardcover
First published February 1, 1996"
52,Unnatural Creatures,https://www.goodreads.com/book/show/16248246-unnatural-creatures,"First published April 1, 2013",Fantasy,3.88,"10,056 ratings","462 pages, Hardcover
First published April 1, 2013"
53,Eternals,https://www.goodreads.com/book/show/47694.Eternals,"First published November 1, 2006",Comics,3.62,"10,760 ratings","256 pages, Hardcover
First published November 1, 2006"
54,The Sandman: Book of Dreams,https://www.goodreads.com/book/show/92377.The_Sandman,"First published January 1, 1996",Fantasy,4.28,"9,012 ratings","402 pages, Mass Market Paperback
First published January 1, 1996"
55,A Study in Emerald,https://www.goodreads.com/book/show/6599565-a-study-in-emerald,"First published October 1, 2003",Fantasy,4.17,"9,209 ratings","1 pages, Audible Audio
First published October 1, 2003"
56,"Death (Death of the Endless, #1-2)",https://www.goodreads.com/book/show/13532194-death,"First published January 1, 2012",Graphic Novels,4.47,"8,523 ratings","320 pages, Hardcover
First published January 1, 2012"
57,"The Absolute Sandman, Volume 3",https://www.goodreads.com/book/show/2186848.The_Absolute_Sandman_Volume_3,"First published December 1, 1993",Comics,4.69,"8,012 ratings","616 pages, Slipcased Hardcover
First published December 1, 1993"
58,Hansel and Gretel,https://www.goodreads.com/book/show/20718289-hansel-and-gretel,"First published October 1, 2014",Fantasy,3.81,"9,117 ratings","56 pages, Hardcover
First published October 1, 2014"
59,Instructions,https://www.goodreads.com/book/show/7023148-instructions,"First published April 27, 2010",Fantasy,4.27,"7,725 ratings","40 pages, Hardcover
First published April 27, 2010"
60,"The Graveyard Book Graphic Novel, Volume 2",https://www.goodreads.com/book/show/20452208-the-graveyard-book-graphic-novel-volume-2,"First published January 1, 2009",Graphic Novels,4.31,"7,265 ratings","176 pages, Kindle Edition
First published January 1, 2009"
61,MirrorMask,https://www.goodreads.com/book/show/760984.MirrorMask,"First published January 1, 2005",Fantasy,3.85,"8,072 ratings","80 pages, Hardcover
First published January 1, 2005"
62,How to Talk to Girls at Parties,https://www.goodreads.com/book/show/28186151-how-to-talk-to-girls-at-parties,"First published June 28, 2016",Graphic Novels,3.62,"8,079 ratings","64 pages, Hardcover
First published June 28, 2016"
63,The Tragical Comedy or Comical Tragedy of Mr. Punch,https://www.goodreads.com/book/show/16792.The_Tragical_Comedy_or_Comical_Tragedy_of_Mr_Punch,"First published January 1, 1994",Graphic Novels,3.77,"7,704 ratings","96 pages, Paperback
First published January 1, 1994"
64,How to Talk to Girls at Parties,https://www.goodreads.com/book/show/13378509-how-to-talk-to-girls-at-parties,"First published January 1, 2007",Short Stories,3.73,"7,746 ratings","11 pages, ebook
First published January 1, 2007"
65,"Snow, Glass, Apples",https://www.goodreads.com/book/show/6366271-snow-glass-apples,"First published March 1, 1995",Fantasy,4.14,"6,844 ratings","25 pages, Paperback
First published March 1, 1995"
66,A Study in Emerald,https://www.goodreads.com/book/show/36709515-a-study-in-emerald,"First published June 27, 2018",Graphic Novels,3.91,"6,983 ratings","88 pages, Hardcover
First published June 27, 2018"
67,Blueberry Girl,https://www.goodreads.com/book/show/1967067.Blueberry_Girl,"First published March 10, 2009",Picture Books,4.19,"6,248 ratings","32 pages, Hardcover
First published March 10, 2009"
68,Sandman. Tom 1. Sen sprawiedliwych,https://www.goodreads.com/book/show/17255666-sandman-tom-1-sen-sprawiedliwych,"First published January 1, 2004",Comics,4.39,"5,959 ratings","100 pages, Paperback
First published January 1, 2004"
69,Stories: All-New Tales,https://www.goodreads.com/book/show/7637398-stories,"First published June 15, 2010",Short Stories,3.71,"6,919 ratings","428 pages, Hardcover
First published June 15, 2010"
70,"The Monarch of the Glen (American Gods, #1.1)",https://www.goodreads.com/book/show/18245822-the-monarch-of-the-glen,"First published September 25, 2006",Fantasy,3.84,"6,322 ratings","128 pages, ebook
First published September 25, 2006"
71,Murder Mysteries,https://www.goodreads.com/book/show/490789.Murder_Mysteries,"First published October 1, 1992",Graphic Novels,4.06,"5,929 ratings","64 pages, Hardcover
First published October 1, 1992"
72,Neverwhere: BBC Dramatisation,https://www.goodreads.com/book/show/20362706-neverwhere,"First published September 5, 2013",Fantasy,4.33,"5,443 ratings","4 pages, Audiobook
First published September 5, 2013"
73,Chivalry,https://www.goodreads.com/book/show/57344241-chivalry,"First published October 31, 1992",Fantasy,4.21,"5,463 ratings","72 pages, Hardcover
First published October 31, 1992"
74,"The Silver Dream (InterWorld, #2)",https://www.goodreads.com/book/show/16248073-the-silver-dream,"First published April 23, 2013",Fantasy,3.60,"6,129 ratings","256 pages, Hardcover
First published April 23, 2013"
75,Neil Gaiman and Charles Vess' Stardust #1,https://www.goodreads.com/book/show/24520334-neil-gaiman-and-charles-vess-stardust-1,"First published December 1, 1997",Fantasy,4.37,"4,850 ratings","50 pages, Kindle Edition
First published December 1, 1997"
76,"Chu's Day (Chu, #1)",https://www.goodreads.com/book/show/15727792-chu-s-day,Not Found,Not Found,3.86,"5,447 ratings",Not Found
77,The Sandman: Overture #1,https://www.goodreads.com/book/show/18780631-the-sandman,"First published October 13, 2013",Comics,4.26,"4,813 ratings","18 pages, Kindle Edition
First published October 13, 2013"
78,The Quotable Sandman,https://www.goodreads.com/book/show/104602.The_Quotable_Sandman,"First published May 1, 2001",Fantasy,4.52,"4,515 ratings","90 pages, Hardcover
First published May 1, 2001"
79,The Sandman (Sandman #1),https://www.goodreads.com/book/show/60012216-the-sandman,"First published August 28, 1990",Fantasy,4.45,"4,444 ratings","560 pages, Paperback
First published August 28, 1990"
80,1602: Part One,https://www.goodreads.com/book/show/26988338-1602,"First published October 29, 2003",Comics,3.79,"4,994 ratings","35 pages, Kindle Edition
First published October 29, 2003"
81,"American Gods, Vol. 1: Shadows",https://www.goodreads.com/book/show/35543916-american-gods-vol-1,"First published February 28, 2018",Graphic Novels,4.16,"4,539 ratings","262 pages, Hardcover
First published February 28, 2018"
82,The Dangerous Alphabet,https://www.goodreads.com/book/show/1967071.The_Dangerous_Alphabet,"First published April 29, 2008",Picture Books,4.07,"4,390 ratings","32 pages, Hardcover
First published April 29, 2008"
83,"The Sandman Omnibus, Vol. 1",https://www.goodreads.com/book/show/17137673-the-sandman-omnibus-vol-1,"First published August 27, 2013",Comics,4.65,"3,654 ratings","1040 pages, Hardcover
First published August 27, 2013"
84,Violent Cases,https://www.goodreads.com/book/show/428658.Violent_Cases,"First published January 1, 1987",Graphic Novels,3.79,"4,338 ratings","48 pages, Paperback
First published January 1, 1987"
85,Signal to Noise,https://www.goodreads.com/book/show/166570.Signal_to_Noise,"First published January 1, 1990",Comics,3.84,"4,273 ratings","80 pages, Paperback
First published January 1, 1990"
86,Doctor Who: Nothing O'Clock,https://www.goodreads.com/book/show/18754367-doctor-who,"First published November 21, 2013",Doctor Who,4.19,"3,848 ratings","45 pages, Kindle Edition
First published November 21, 2013"
87,"The Last Temptation (The Last Temptation, #1-3)",https://www.goodreads.com/book/show/47696.The_Last_Temptation,"First published January 1, 1997",Graphic Novels,3.57,"4,508 ratings","104 pages, Hardcover
First published January 1, 1997"
88,"The Absolute Sandman, Volume 5",https://www.goodreads.com/book/show/10864102-the-absolute-sandman-volume-5,"First published January 1, 2011",Comics,4.65,"3,370 ratings","520 pages, Slipcased Hardcover
First published January 1, 2011"
89,What You Need to Be Warm,https://www.goodreads.com/book/show/158649504-what-you-need-to-be-warm,"First published October 31, 2023",Poetry,4.19,"3,619 ratings","32 pages, Hardcover
First published October 31, 2023"
90,Pirate Stew,https://www.goodreads.com/book/show/50212052-pirate-stew,"First published December 1, 2020",Picture Books,3.51,"4,290 ratings","48 pages, Hardcover
First published December 1, 2020"
91,Cinnamon,https://www.goodreads.com/book/show/13389825-cinnamon,"First published January 1, 1995",Picture Books,3.65,"4,060 ratings","40 pages, ebook
First published January 1, 1995"
92,Crazy hair,https://www.goodreads.com/book/show/4583488-crazy-hair,"First published May 26, 2009",Picture Books,3.97,"3,456 ratings","40 pages, Paperback
First published May 26, 2009"
93,"Eternity's Wheel (InterWorld, #3)",https://www.goodreads.com/book/show/23131075-eternity-s-wheel,"First published May 1, 2015",Fantasy,3.72,"3,539 ratings","288 pages, Hardcover
First published May 1, 2015"
94,Harlequin Valentine,https://www.goodreads.com/book/show/47695.Harlequin_Valentine,"First published March 1, 1999",Graphic Novels,3.74,"3,369 ratings","40 pages, Hardcover
First published March 1, 1999"
95,Neil Gaiman's Midnight Days,https://www.goodreads.com/book/show/47702.Neil_Gaiman_s_Midnight_Days,"First published December 8, 1999",Graphic Novels,3.81,"3,244 ratings","208 pages, Paperback
First published December 8, 1999"
96,Click-Clack the Rattlebag,https://www.goodreads.com/book/show/16109478-click-clack-the-rattlebag,"First published October 25, 2012",Horror,4.10,"2,833 ratings","1 pages, Audible Audio
First published October 25, 2012"
97,"Black Dog (American Gods, #1.2)",https://www.goodreads.com/book/show/31199023-black-dog,"First published November 3, 2016",Fantasy,4.13,"2,800 ratings","96 pages, Hardcover
First published November 3, 2016"
98,"American Gods / Anansi Boys: Coffret, 2 volumes",https://www.goodreads.com/book/show/2136943.American_Gods_Anansi_Boys,"First published January 1, 2012",Fantasy,4.32,"2,578 ratings","1181 pages, Paperback
First published January 1, 2012"
99,The Facts In The Case Of The Departure Of Miss Finch,https://www.goodreads.com/book/show/16794.The_Facts_In_The_Case_Of_The_Departure_Of_Miss_Finch,"First published October 10, 2007",Graphic Novels,3.53,"2,954 ratings","56 pages, Hardcover
First published October 10, 2007"
100,Creatures Of The Night,https://www.goodreads.com/book/show/22344.Creatures_Of_The_Night,"First published December 19, 2000",Graphic Novels,3.81,"2,508 ratings","46 pages, Hardcover
First published December 19, 2000"
101,The Neil Gaiman Audio Collection,https://www.goodreads.com/book/show/22337.The_Neil_Gaiman_Audio_Collection,"First published January 1, 2004",Audiobook,4.21,"2,248 ratings","1 pages, Audio CD
First published January 1, 2004"
102,The Neil Gaiman Reader: Selected Fiction,https://www.goodreads.com/book/show/50358085-the-neil-gaiman-reader,"First published October 6, 2020",Fantasy,4.47,"2,042 ratings","752 pages, Hardcover
First published October 6, 2020"
103,"The Sandman Omnibus, Vol. 2",https://www.goodreads.com/book/show/17671956-the-sandman-omnibus-vol-2,"First published November 12, 2013",Graphic Novels,4.71,"1,919 ratings","1033 pages, Hardcover
First published November 12, 2013"
104,The Sandman: Book Two,https://www.goodreads.com/book/show/60012215-the-sandman,"First published March 24, 1992",Fantasy,4.50,"1,889 ratings","544 pages, Paperback
First published March 24, 1992"
105,"The Graveyard Book (The Graveyard Book, #1-2)",https://www.goodreads.com/book/show/28371842-the-graveyard-book,"Published January 1, 2015",Graphic Novels,4.29,"1,912 ratings","358 pages, Hardcover
Published January 1, 2015"
106,Coraline and Other Stories,https://www.goodreads.com/book/show/6771443-coraline-and-other-stories,"First published October 5, 2009",Fantasy,4.11,"1,931 ratings","278 pages, Paperback
First published October 5, 2009"
107,Angels and Visitations: A Miscellany,https://www.goodreads.com/book/show/17327.Angels_and_Visitations,"First published April 1, 1989",Fantasy,4.13,"1,766 ratings","166 pages, Hardcover
First published April 1, 1989"
108,"Chu's First Day of School (Chu, #2)",https://www.goodreads.com/book/show/17718088-chu-s-first-day-of-school,"First published January 1, 2014",Picture Books,3.82,"1,890 ratings","30 pages, Hardcover
First published January 1, 2014"
109,"Miracleman, Book One: The Golden Age",https://www.goodreads.com/book/show/198474.Miracleman_Book_One,"First published January 1, 1992",Comics,3.91,"1,831 ratings","192 pages, Hardcover
First published January 1, 1992"
110,"American Gods, Vol. 2: My Ainsel",https://www.goodreads.com/book/show/37955366-american-gods-vol-2,"First published April 23, 2019",Graphic Novels,4.21,"1,681 ratings","232 pages, Hardcover
First published April 23, 2019"
111,"The Sandman: The Deluxe Edition, Book One",https://www.goodreads.com/book/show/48932528-the-sandman,"First published November 3, 2020",Graphic Novels,4.37,"1,592 ratings","528 pages, Hardcover
First published November 3, 2020"
112,"Norse Mythology, Vol. 1",https://www.goodreads.com/book/show/54808890-norse-mythology-vol-1,"First published March 23, 2021",Graphic Novels,4.11,"1,664 ratings","160 pages, Hardcover
First published March 23, 2021"
113,Forbidden Brides of the Faceless Slaves in the Secret House of the Night of Dread Desire,https://www.goodreads.com/book/show/30206743-forbidden-brides-of-the-faceless-slaves-in-the-secret-house-of-the-night,"First published January 25, 2017",Graphic Novels,3.28,"2,062 ratings","48 pages, Hardcover
First published January 25, 2017"
114,Chu's Day at the Beach,https://www.goodreads.com/book/show/22864821-chu-s-day-at-the-beach,"First published April 7, 2015",Picture Books,3.85,"1,551 ratings","32 pages, Hardcover
First published April 7, 2015"
115,The Sandman #2: Imperfect Hosts,https://www.goodreads.com/book/show/18810519-the-sandman-2,"First published January 1, 1988",Comics,4.26,"1,339 ratings","25 pages, Comic
First published January 1, 1988"
116,The Sandman #3: ... Dream a Little Dream of Me,https://www.goodreads.com/book/show/23495022-the-sandman-3,"Published March 1, 1989",Comics,4.37,"1,217 ratings","32 pages, Comic
Published March 1, 1989"
117,Sandman Midnight Theatre,https://www.goodreads.com/book/show/161197.Sandman_Midnight_Theatre,"First published July 1, 1995",Graphic Novels,3.89,"1,364 ratings","64 pages, Paperback
First published July 1, 1995"
118,The Sandman: Overture #2,https://www.goodreads.com/book/show/19438978-the-sandman,"First published May 1, 2014",Comics,4.53,"1,171 ratings","17 pages, Kindle Edition
First published May 1, 2014"
119,"I, Cthulhu, or, What’s a Tentacle-Faced Thing Like Me Doing in a Sunken City Like This (Latitude 47° 9′ S, Longitude 126° 43′ W)?",https://www.goodreads.com/book/show/13264510-i-cthulhu-or-what-s-a-tentacle-faced-thing-like-me-doing-in-a-sunken,"First published January 1, 1986",Short Stories,3.74,"1,349 ratings","12 pages, ebook
First published January 1, 1986"
120,The Sandman #4: Hope in Hell,https://www.goodreads.com/book/show/18810708-the-sandman-4,"First published January 1, 1988",Comics,4.43,"1,128 ratings","25 pages, Comic
First published January 1, 1988"
121,The Sandman: Book Three,https://www.goodreads.com/book/show/60012213-the-sandman,"First published November 2, 1993",Fantasy,4.46,"1,112 ratings","528 pages, Paperback
First published November 2, 1993"
122,Shoggoth's Old Peculiar,https://www.goodreads.com/book/show/47728.Shoggoth_s_Old_Peculiar,"First published June 1, 1998",Fantasy,4.01,"1,229 ratings","44 pages, Chapbook
First published June 1, 1998"
123,Likely Stories,https://www.goodreads.com/book/show/39086876-likely-stories,"First published October 16, 2018",Graphic Novels,3.38,"1,371 ratings","80 pages, Hardcover
First published October 16, 2018"
124,MirrorMask: The Illustrated Film Script,https://www.goodreads.com/book/show/47718.MirrorMask,"First published May 3, 2005",Fantasy,3.98,"1,153 ratings","336 pages, Hardcover
First published May 3, 2005"
125,Troll Bridge,https://www.goodreads.com/book/show/13144469-troll-bridge,"First published January 1, 1993",Fantasy,3.93,"1,134 ratings","13 pages
First published January 1, 1993"
126,The Sandman #8: The Sound of Her Wings,https://www.goodreads.com/book/show/19086662-the-sandman-8,"First published August 1, 1989",Comics,4.57,968 ratings,"26 pages
First published August 1, 1989"
127,"American Gods, Vol. 3: The Moment of the Storm",https://www.goodreads.com/book/show/37955367-american-gods-vol-3,"First published May 19, 2020",Graphic Novels,4.28,"1,031 ratings","224 pages, Hardcover
First published May 19, 2020"
128,Only the End of the World Again,https://www.goodreads.com/book/show/229317.Only_the_End_of_the_World_Again,"First published October 1, 1994",Graphic Novels,3.34,"1,301 ratings","48 pages, Paperback
First published October 1, 1994"
129,Troll Bridge,https://www.goodreads.com/book/show/28251028-troll-bridge,"First published October 4, 2016",Graphic Novels,3.86,"1,126 ratings","64 pages, Hardcover
First published October 4, 2016"
130,Other People,https://www.goodreads.com/book/show/16176131-other-people,"First published October 1, 2001",Short Stories,4.03,"1,056 ratings","3 pages, ebook
First published October 1, 2001"
131,The Sandman #5: Passengers,https://www.goodreads.com/book/show/23495050-the-sandman-5,"First published January 1, 1993",Comics,4.19,"1,003 ratings","26 pages, Comic
First published January 1, 1993"
132,The Sandman #6: 24 Hours,https://www.goodreads.com/book/show/23495066-the-sandman-6,"First published June 1, 1989",Comics,4.28,979 ratings,"26 pages, Unknown Binding
First published June 1, 1989"
133,"The Annotated Sandman, Vol. 1",https://www.goodreads.com/book/show/12101436-the-annotated-sandman-vol-1,"First published January 27, 2011",Graphic Novels,4.45,920 ratings,"560 pages, Hardcover
First published January 27, 2011"
134,A Calendar of Tales,https://www.goodreads.com/book/show/17404588-a-calendar-of-tales,"First published February 1, 2013",Short Stories,4.21,969 ratings,"31 pages, ebook
First published February 1, 2013"
135,"Neil Gaiman/Chris Riddell 3-Book Box Set: Coraline; The Graveyard Book; Fortunately, the Milk",https://www.goodreads.com/book/show/24039420-neil-gaiman-chris-riddell-3-book-box-set,"First published September 8, 2015",Fantasy,4.63,876 ratings,"512 pages, Paperback
First published September 8, 2015"
136,The Sandman: Overture #3,https://www.goodreads.com/book/show/22837466-the-sandman,"First published September 1, 2014",Comics,4.44,882 ratings,"36 pages, Kindle Edition
First published September 1, 2014"
137,The Sandman Volumes 1-10 Box (10 books),https://www.goodreads.com/book/show/15041842-the-sandman-volumes-1-10-box,"First published November 13, 2012",Graphic Novels,4.73,809 ratings,"2050 pages, Paperback
First published November 13, 2012"
138,"Sandman Special, Bd.2, Der Gesang Des Orpheus",https://www.goodreads.com/book/show/4616731-sandman-special-bd-2-der-gesang-des-orpheus,"First published January 1, 1991",Comics,4.26,893 ratings,"56 pages, Paperback
First published January 1, 1991"
139,The Sandman #7: Sound and Fury,https://www.goodreads.com/book/show/25683538-the-sandman-7,"Published July 1, 1989",Comics,4.24,897 ratings,"26 pages, Comic
Published July 1, 1989"
140,The Sandman: Book Four,https://www.goodreads.com/book/show/59880901-the-sandman,"First published January 23, 1996",Fantasy,4.59,815 ratings,"528 pages, Paperback
First published January 23, 1996"
